"End.stage_coagulation,correlates with,Chronic_lymphocytic_leukemia,at corr. coeff.,0.5872,anticorrelates with,Metabolite_levels,at corr. coeff.,-0.1987"
"Mean_corpuscular_hemoglobin,correlates with,Mean_corpuscular_volume,at corr. coeff.,0.5581,anticorrelates with,Sudden_cardiac_arrest,at corr. coeff.,-0.1146"
"Type_1_diabetes_autoantibodies,correlates with,Type_1_diabetes,at corr. coeff.,0.6015,anticorrelates with,Metabolite_levels,at corr. coeff.,-0.2211"
"Urate_levels,correlates with,Liver_enzyme_levels_gamma.glutamyl_transferase,at corr. coeff.,0.4394,anticorrelates with,Type_1_diabetes,at corr. coeff.,-0.2484"
"Prostate_cancer,correlates with,Chronic_kidney_disease,at corr. coeff.,0.3737,anticorrelates with,Height,at corr. coeff.,-0.3553"
"Lipoprotein.associated_phospholipase_A2_activity_and_mass,correlates with,LDL_cholesterol,at corr. coeff.,0.5262,anticorrelates with,Height,at corr. coeff.,-0.1352"
"Systemic_lupus_erythematosus_and_Systemic_sclerosis,correlates with,Celiac_disease_and_Rheumatoid_arthritis,at corr. coeff.,0.2849,anticorrelates with,Smoking_behavior,at corr. coeff.,-0.1431"
"Response_to_hepatitis_C_treatment,correlates with,Telomere_length,at corr. coeff.,0.4709,anticorrelates with,Type_1_diabetes_autoantibodies,at corr. coeff.,-0.1176"
"PR_interval,correlates with,Ventricular_conduction,at corr. coeff.,0.7635,anticorrelates with,HDL_cholesterol,at corr. coeff.,-0.253"
"Post.traumatic_stress_disorder_asjusted_for_relatedness,correlates with,Attention_deficit_hyperactivity_disorder_hyperactivity.impulsivity_symptoms,at corr. coeff.,0.3342,anticorrelates with,HDL_cholesterol,at corr. coeff.,-0.3678"
"Attention_deficit_hyperactivity_disorder_hyperactivity.impulsivity_symptoms,correlates with,Attention_deficit_hyperactivity_disorder_combined_symptoms,at corr. coeff.,0.7237,anticorrelates with,HDL_cholesterol,at corr. coeff.,-0.2526"
"Lipid_metabolism_phenotypes,correlates with,Liver_enzyme_levels_gamma.glutamyl_transferase,at corr. coeff.,0.5649,anticorrelates with,Height,at corr. coeff.,-0.2393"
"Attention_deficit_hyperactivity_disorder_combined_symptoms,correlates with,Attention_deficit_hyperactivity_disorder_hyperactivity.impulsivity_symptoms,at corr. coeff.,0.7237,anticorrelates with,Primary_tooth_development_time_to_first_tooth_eruption,at corr. coeff.,-0.1748"
"Bone_mineral_density_hip,correlates with,Bone_mineral_density,at corr. coeff.,0.7035,anticorrelates with,Sudden_cardiac_arrest,at corr. coeff.,-0.2833"
